name,zoom,individualId,lat,lng,areaId,URL,notes,icon,whether,type
友部 湯崎湖,,L56,36.308473,140.325132,IBARAKI_KASUMIGAURA,,〒309-1715 茨城県笠間市湯崎１０９９−５,fish3,,
菜洗池,,L57,36.219003,140.382738,IBARAKI_KASUMIGAURA,,〒311-3401 茨城県小美玉市佐才４１２,fish6,,
湛沼,,L58,36.312845,140.370115,IBARAKI_KASUMIGAURA,,〒311-3103 茨城県東茨城郡茨城町野曽,fish6,,
中沢池,,L59,36.356862,140.487397,IBARAKI_KASUMIGAURA,,〒310-0836 茨城県水戸市元吉田町２７３２,fish4,,
TSURIBORI水戸南,,L60,36.322774,140.487515,IBARAKI_KASUMIGAURA,,〒310-0843 茨城県水戸市元石川町２６１９,fish6,,
レジャーパーク笠間,,L61,36.407646,140.223838,IBARAKI_KASUMIGAURA,,〒309-1631 茨城県笠間市片庭２７４９−番地,fish3,,
武具池,,L62,36.387913,140.334179,IBARAKI_KASUMIGAURA,,〒319-0306 茨城県水戸市杉崎町,fish6,,
つり処 たぬき,,L63,36.052131,139.813575,IBARAKI_TSUKUBA,,〒270-0213 千葉県野田市桐ケ作１７２,fish4,,
森の里,,L64,36.082046,139.864749,IBARAKI_TSUKUBA,,〒306-0657 茨城県坂東市借宿６７９,fish4,,
兎谷津へら鮒センター,,L65,36.067368,139.831592,IBARAKI_TSUKUBA,,〒306-0417 茨城県猿島郡境町若林５０６４,fish4,,
すっぽん釣り堀,,L66,36.001354,139.892046,IBARAKI_TSUKUBA,,〒306-0654 茨城県坂東市莚打２３５,fish4,,
皇帝池,,L67,36.068545,139.973231,IBARAKI_TSUKUBA,,〒300-2512 茨城県常総市大輪町４１８,fish4,,
吉野公園,,L68,36.075362,140.001692,IBARAKI_TSUKUBA,,〒300-2502 茨城県常総市上蛇町１８６３,fish4,,
四ツ谷池,,L69,36.071306,140.009948,IBARAKI_TSUKUBA,,〒300-2502 茨城県つくば市高良田２１２,fish4,,
谷和原大沼,,L70,36.026603,140.023558,IBARAKI_TSUKUBA,,〒300-2406 茨城県つくばみらい市福岡２２８,fish4,,
つくば釣堀センター,,L71,36.015123,140.062667,IBARAKI_TSUKUBA,,〒305-0876 茨城県つくば市西栗山７,fish4,,
三楽園,,L72,35.927154,139.933693,IBARAKI_TSUKUBA,,〒278-0014 千葉県野田市上三ケ尾７０３−１,fish4,,
法師戸大池,,L73,35.984259,139.917578,IBARAKI_TSUKUBA,,〒306-0623 茨城県坂東市法師戸,fish4,,
さくら湖,,L74,35.878446,140.073318,IBARAKI_TSUKUBA,,〒302-0003 茨城県取手市小堀３９０７−１６ 16,fish4,,
筑波白水湖,,L75,36.162349,140.017882,IBARAKI_TSUKUBA,,〒300-4205 茨城県つくば市安食２５５２−２,fish4,,
筑波流源湖 釣り堀,,L76,36.225963,139.88839,IBARAKI_TSUKUBA,,〒300-3512 茨城県結城郡八千代町小屋２１０,fish4,,
三和新池,,L77,36.212333,139.831181,IBARAKI_TSUKUBA,,〒306-0101 茨城県古河市尾崎５６８,fish4,,
ネーブルパーク 釣り堀,,L78,36.165709,139.753212,IBARAKI_TSUKUBA,,〒306-0225 茨城県古河市駒羽根６２０,fish4,,
小堤フィッシィングセンター,,L79,36.208866,139.765859,IBARAKI_TSUKUBA,,〒306-0231 茨城県古河市小堤１４１１−３,fish4,,
弥五郎沼,,L80,36.076577,139.797146,IBARAKI_TSUKUBA,,〒270-0202 千葉県野田市関宿台町１２７８,fish4,,
母子島遊水地,,L81,36.257303,139.991516,IBARAKI_TSUKUBA,,〒308-0835 茨城県筑西市飯,fish4,,
弁天沼,,L82,36.344893,140.072532,IBARAKI_TSUKUBA,,〒309-1246 茨城県桜川市高森９２６,fish4,,
