group,name,lat,lng,notes,icon,areaId
セリア,北小金店,35.83178,139.93314,千葉県松戸市小金40-1コモディイイダ北小金店 2F,shop4,CHIBA_UCHIBOU
DAISO,松戸小金原店,35.81887,139.94481,千葉県松戸市小金原6丁目5-1 2階,shop4,CHIBA_UCHIBOU
DAISO,プラーレ松戸店,35.78289,139.9025,千葉県松戸市松戸1149-1プラーレ松戸店内4階,shop4,CHIBA_UCHIBOU
DAISO,ピアザ松戸店,35.78486,139.90105,千葉県松戸市松戸1230-1ピアザ松戸店4階,shop4,CHIBA_UCHIBOU
上州屋,松戸店,35.78232,139.89893,千葉県松戸市松戸1307-1,shop2,CHIBA_UCHIBOU
セリア,キテミテマツド店,35.78232,139.89893,千葉県松戸市松戸1307-1キテミテマツド 5F,shop4,CHIBA_UCHIBOU
DAISO,マミーマート松戸新田店,35.7789,139.9174,千葉県松戸市松戸新田30-1,shop4,CHIBA_UCHIBOU
セリア,ヤオコー松戸上本郷店,35.79572,139.91885,千葉県松戸市上本郷4005-1,shop4,CHIBA_UCHIBOU
DAISO,セブンタウン常盤平店,35.80287,139.95126,千葉県松戸市常盤平3-10-1セブンタウン常盤平2階,shop4,CHIBA_UCHIBOU
セリア,西友常盤平店,35.80199,139.9514,千葉県松戸市常盤平3-11-1西友常盤平店 3F,shop4,CHIBA_UCHIBOU
DAISO,五香駅西口ビル店,35.79715,139.96577,千葉県松戸市常盤平5-19-1 3階,shop4,CHIBA_UCHIBOU
DAISO,新松戸5丁目店,35.828,139.90881,千葉県松戸市新松戸5-134 2階,shop4,CHIBA_UCHIBOU
DAISO,松戸大橋店,35.76588,139.91072,千葉県松戸市大橋403-7 1階・2階,shop4,CHIBA_UCHIBOU
タックルベリー,松戸六号店,35.78953,139.91011,千葉県松戸市南花島3丁目40-11,shop2,CHIBA_UCHIBOU
,ホワイトバス,35.7917,139.90866,千葉県松戸市南花島4丁目68-1,shop0,CHIBA_UCHIBOU
セリア,八柱駅ビル店,35.79206,139.93851,千葉県松戸市日暮1-1-1八柱駅第2ビル 1F A号室,shop4,CHIBA_UCHIBOU
DAISO,テラスモール松戸店,35.81767,139.93282,千葉県松戸市八ヶ崎2-8-1テラスモール松戸3階,shop4,CHIBA_UCHIBOU
DAISO,ラコマート北松戸店,35.79973,139.91388,千葉県松戸市北松戸2-6-1 ラコマート北松戸店2階,shop4,CHIBA_UCHIBOU
DAISO,松戸六高台店,35.79904,139.98422,千葉県松戸市六高台7-73,shop4,CHIBA_UCHIBOU
DAISO,イオンモール成田店,35.79525,140.31891,千葉県成田市ウイング土屋24番地 イオンモール成田店1階,shop4,CHIBA_UCHIBOU
,ヘッドハンターズ,35.79517,140.31923,千葉県成田市ウイング土屋256,shop0,CHIBA_UCHIBOU
DAISO,ウニクス成田店,35.77771,140.285,千葉県成田市はなのき台2丁目25-1,shop4,CHIBA_UCHIBOU
DAISO,成田ユアエルム店,35.75941,140.29672,千葉県成田市公津の杜4丁目5番3号成田ユアエルム店3階,shop4,CHIBA_UCHIBOU
DAISO,そよら成田ニュータウン店,35.77824,140.29073,千葉県成田市赤坂2-1-10 そよら成田ニュータウン3階,shop4,CHIBA_UCHIBOU
DAISO,イオンタウン成田富里店,35.778,140.32346,千葉県成田市東町133番地イオンタウン成田富里店2階201-1,shop4,CHIBA_UCHIBOU
,IGS成田店,35.75646,140.30437,千葉県成田市並木町188,shop0,CHIBA_UCHIBOU
タックルベリー,BiGBerry 成田409号店,35.75196,140.3013,千葉県成田市並木町219-9,shop2,CHIBA_UCHIBOU
タックルベリー,稲毛オーツーパーク店,35.65172,140.11948,千葉県千葉市稲毛区園生町380-1,shop2,CHIBA_UCHIBOU
DAISO,ヤオコー作草部店,35.62385,140.11705,千葉県千葉市稲毛区作草部町592-2 2階,shop4,CHIBA_UCHIBOU
セリア,イオン稲毛店,35.63571,140.09604,千葉県千葉市稲毛区小仲台1-4-20イオン稲毛店 1F,shop4,CHIBA_UCHIBOU
DAISO,マルエツ稲毛店,35.6408,140.09079,千葉県千葉市稲毛区小仲台7-2-1マルエツ稲毛店3階,shop4,CHIBA_UCHIBOU
DAISO,フレスポ稲毛店,35.65575,140.12737,千葉県千葉市稲毛区長沼原町731-17,shop4,CHIBA_UCHIBOU
セリア,せんどう長沼店,35.6546,140.11366,千葉県千葉市稲毛区長沼町288-183せんどう長沼店 2F,shop4,CHIBA_UCHIBOU
セリア,Skip天台店,35.63152,140.11327,千葉県千葉市稲毛区天台1-4-12Skip天台 2F,shop4,CHIBA_UCHIBOU
